time,wx,wy,wz
11.819765090942383,0.77,1.28,-0.72
11.82717514038086,1.34,0.96,-0.47
11.834254264831543,1.58,0.46,-0.01
11.846100091934204,1.14,0.05,0.43
11.854241132736206,0.36,-0.18,0.83
11.864220142364502,-0.29,-0.19,1.24
11.874354124069214,-0.62,0.04,1.46
11.884002208709717,-0.65,0.38,1.33
11.893909931182861,-0.49,0.74,0.84
11.90398907661438,-0.23,1.02,0.25
11.919339179992676,0.11,0.89,0.1
11.927160263061523,0.4,0.27,-0.11
11.933727264404297,0.51,-0.66,-0.62
11.948280096054077,0.24,-1.13,-1.26
11.954962253570557,-0.45,-0.6,-1.83
11.963596105575562,-1.23,0.18,-1.8
11.973546028137207,-1.67,0.41,-0.82
11.983596086502075,-1.73,0.28,0.2
11.993514060974121,-1.41,0.09,0.25
12.003335952758789,-1.07,0.12,0.16
12.018328189849854,-0.87,0.27,0.1
12.0256929397583,-0.73,0.34,0.05
12.033143043518066,-0.55,0.2,-0.05
12.050106048583984,-0.37,-0.12,-0.27
12.056873083114624,-0.23,-0.49,-0.53
12.063537120819092,-0.16,-0.81,-0.67
12.081827163696289,-0.16,-1.04,-0.77
12.088582038879395,-0.23,-1.23,-0.78
12.096402168273926,-0.32,-1.45,-0.7
12.103049039840698,-0.39,-1.65,-0.61
12.114727973937988,-0.4,-1.82,-0.53
12.129435062408447,-0.37,-1.98,-0.47
12.136054039001465,-0.32,-2.16,-0.43
12.1464262008667,-0.33,-2.31,-0.39
12.152960062026978,-0.37,-2.39,-0.38
12.162869930267334,-0.44,-2.41,-0.38
12.17149305343628,-0.5,-2.4,-0.39
12.18178105354309,-0.53,-2.37,-0.41
12.191867113113403,-0.54,-2.29,-0.47
12.20169711112976,-0.56,-2.17,-0.52
12.212167263031006,-0.55,-2.02,-0.52
12.226043224334717,-0.55,-1.83,-0.51
12.23297905921936,-0.57,-1.64,-0.48
12.24770712852478,-0.63,-1.49,-0.45
